ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Naam_47;Code_48;Naam_49;Code_50;Omschrijving_51;Code_52;Omschrijving_53;Inwonertal_54;Omgevingsadressendichtheid_55
10;GM1723    ;GM1723    ;Alphen-Chaam                                      ;Alphen+Chaam                                      ;AM26      ;Midden-Brabant                                    ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5206    ;GGD West-Brabant                                  ;JZ35      ;Midden-Brabant (Hart van Brabant)                 ;KK44      ;Zuid                                              ;LB3007    ;De Kempen                                         ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland - West-Brabant                            ;ES28      ;West-Brabant                                      ;MC34      ;West-Brabant                                      ;RA1323    ;West-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2801    ;West-Brabant                                      ;TR13      ;West- en Midden-Brabant                           ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT15      ;Midden-Brabant                                    ;VR20      ;Midden- en West-Brabant                           ;ZK25      ;West-Brabant                                      ;3;10 000 tot 20 000 inwoners                        ;5;Niet stedelijk           ;10455;330
11;GM1959    ;GM1959    ;Altena                                            ;Altena                                            ;AM25      ;West-Brabant                                      ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5206    ;GGD West-Brabant                                  ;JZ34      ;West Brabant Oost                                 ;KK44      ;Zuid                                              ;LB3003    ;Biesbosch                                         ;LG11      ;Zuidwestelijk Akkerbouwgebied                     ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland - West-Brabant                            ;ES28      ;West-Brabant                                      ;MC34      ;West-Brabant                                      ;RA1323    ;West-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2801    ;West-Brabant                                      ;TR04      ;Deltagebied                                       ;TG02      ;Watersportgebieden                                ;VT21      ;West-brabant                                      ;VR20      ;Midden- en West-Brabant                           ;ZK25      ;West-Brabant                                      ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;58277;521
12;GM0060    ;GM0060    ;Ameland                                           ;Ameland                                           ;AM02      ;Friesland                                         ;AR05      ;Noord-Nederland                                   ;CR04      ;Noord-Friesland                                   ;CS040     ;Noord-Friesland                                   ;CP0400    ;Noord-Friesland                                   ;GG7206    ;GGD Fryslân                                       ;JZ02      ;Friesland (Fryslân)                               ;KK42      ;Noord                                             ;LB2104    ;Eilanden                                          ;LG03      ;Noordelijk Weidegebied                            ;LD01      ;Noord-Nederland                                   ;PV21      ;Fryslân                                           ;RE01      ;Noord-Nederland                                   ;ES02      ;Friesland                                         ;MC04      ;Friesland Noord                                   ;RA0103    ;Friesland                                         ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0201    ;Friesland                                         ;TR01      ;Waddeneilanden                                    ;TG01      ;Kust                                              ;VT04      ;Friesland                                         ;VR02      ;Fryslân                                           ;ZK08      ;Friesland                                         ;1;minder dan 5 000 inwoners                         ;5;Niet stedelijk           ;3839;269
13;GM0307    ;GM0307    ;Amersfoort                                        ;Amersfoort                                        ;AM14      ;Amersfoort                                        ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2514    ;GGD Regio Utrecht                                 ;JZ20      ;Eemland                                           ;KK41      ;Noordwest                                         ;LB2604    ;Eemland                                           ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES13      ;Amersfoort                                        ;MC16      ;Eem en Vallei                                     ;RA0513    ;Amersfoort en omgeving                            ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1301    ;Amersfoort                                        ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;TG03      ;Bos en Heide Midden-Nederland                     ;VT20      ;Utrecht                                           ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;161852;2413
14;GM0362    ;GM0362    ;Amstelveen                                        ;Amstelveen                                        ;AM18      ;Groot Amsterdam                                   ;AR01      ;Amsterdam                                         ;CR23      ;Groot-Amsterdam                                   ;CS232     ;Overig Groot-Amsterdam                            ;CP2321    ;Overig Agglomeratie Amsterdam                     ;GG3406    ;GGD Amsterdam                                     ;JZ13      ;Amsterdam-Amstelland                              ;KK41      ;Noordwest                                         ;LB2703    ;Amstelland en Aalsmeer                            ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE05      ;Amsterdam                                         ;ES16      ;Noord-Holland Zuid                                ;MC21      ;Agglomeratie Amsterdam                            ;RA0717    ;Amstelland, Kennemerland en Meerlanden            ;RT11      ;Gerechtshof Amsterdam                             ;ET1606    ;Amstelland                                        ;TR17      ;Overig Nederland                                  ;TG06      ;Overig Nederland                                  ;VT01      ;Amsterdam-Amstelland                              ;VR13      ;Amsterdam-Amstelland                              ;ZK01      ;Amstelland en De Meerlanden                       ;5;50 000 tot 100 000 inwoners                       ;1;Zeer sterk stedelijk     ;95014;2546
15;GM0363    ;GM0363    ;Amsterdam                                         ;Amsterdam                                         ;AM18      ;Groot Amsterdam                                   ;AR01      ;Amsterdam                                         ;CR23      ;Groot-Amsterdam                                   ;CS231     ;Amsterdam                                         ;CP2311    ;Amsterdam                                         ;GG3406    ;GGD Amsterdam                                     ;JZ13      ;Amsterdam-Amstelland                              ;KK41      ;Noordwest                                         ;LB2706    ;Waterland en Noord-Hollandse Droogmakerijen       ;LG08      ;Waterland en Droogmakerijen                       ;LD03      ;West-Nederland                                    ;PV27      ;Noord-Holland                                     ;RE05      ;Amsterdam                                         ;ES16      ;Noord-Holland Zuid                                ;MC21      ;Agglomeratie Amsterdam                            ;RA0616    ;Amsterdam                                         ;RT11      ;Gerechtshof Amsterdam                             ;ET1601    ;Amsterdam                                         ;TR16      ;4 grote steden exclusief Noordzeebadplaatsen      ;TG06      ;Overig Nederland                                  ;VT01      ;Amsterdam-Amstelland                              ;VR13      ;Amsterdam-Amstelland                              ;ZK02      ;Amsterdam                                         ;8;250 000 inwoners of meer                          ;1;Zeer sterk stedelijk     ;931298;6099
16;GM0200    ;GM0200    ;Apeldoorn                                         ;Apeldoorn                                         ;AM06      ;Veluwe Stedendriehoek                             ;AR03      ;Gelderland                                        ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1413    ;GGD Noord- en Oost-Gelderland                     ;JZ17      ;Midden IJssel / Oost Veluwe                       ;KK43      ;Oost                                              ;LB2501    ;Oostelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES12      ;Stedendriehoek                                    ;MC11      ;Stedendriehoek                                    ;RA0206    ;Stedendriehoek & Noord-Veluwe                     ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1201    ;Stedendriehoek                                    ;TR08      ;Veluwe en Veluwerand                              ;TG03      ;Bos en Heide Midden-Nederland                     ;VT14      ;Noord- en Oost-Gelderland                         ;VR06      ;Noord- en Oost-Gelderland                         ;ZK03      ;Apeldoorn/Zutphen                                 ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;168211;1802
17;GM0202    ;GM0202    ;Arnhem                                            ;Arnhem                                            ;AM07      ;Midden-Gelderland                                 ;AR03      ;Gelderland                                        ;CR15      ;Arnhem/Nijmegen                                   ;CS150     ;Arnhem/Nijmegen                                   ;CP1500    ;Arnhem/Nijmegen                                   ;GG1911    ;Veiligheids- en Gezondheidsregio Gelderland-Midden;JZ28      ;Centraal Gelderland                               ;KK43      ;Oost                                              ;LB2505    ;Veluwezoom en Betuwe                              ;LG10      ;Rivierengebied                                    ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES08      ;Arnhem/Nijmegen                                   ;MC41      ;Arnhem                                            ;RA0309    ;Midden-Gelderland                                 ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0801    ;Arnhem/Nijmegen                                   ;TR08      ;Veluwe en Veluwerand                              ;TG03      ;Bos en Heide Midden-Nederland                     ;VT05      ;Gelderland-Midden                                 ;VR07      ;Gelderland-Midden                                 ;ZK04      ;Arnhem                                            ;7;150 000 tot 250 000 inwoners                      ;2;Sterk stedelijk          ;167632;2316
18;GM0106    ;GM0106    ;Assen                                             ;Assen                                             ;AM01      ;Groningen                                         ;AR05      ;Noord-Nederland                                   ;CR07      ;Noord-Drenthe                                     ;CS070     ;Noord-Drenthe                                     ;CP0700    ;Noord-Drenthe                                     ;GG0706    ;GGD Drenthe                                       ;JZ04      ;Drenthe                                           ;KK42      ;Noord                                             ;LB2202    ;Smilde en Centraal Zandgebied in Drenthe          ;LG02      ;Veenkoloniën en Oldambt                           ;LD01      ;Noord-Nederland                                   ;PV22      ;Drenthe                                           ;RE01      ;Noord-Nederland                                   ;ES03      ;Drenthe                                           ;MC07      ;Noord- en Midden Drenthe                          ;RA0102    ;Drenthe                                           ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0301    ;Drenthe                                           ;TR12      ;Groningse, Friese en Drentse Zandgronden          ;TG04      ;Bos en Heide Noordoost-Nederland                  ;VT02      ;Drenthe                                           ;VR03      ;Drenthe                                           ;ZK06      ;Drenthe                                           ;5;50 000 tot 100 000 inwoners                       ;2;Sterk stedelijk          ;69701;1600
19;GM0743    ;GM0743    ;Asten                                             ;Asten                                             ;AM32      ;Helmond-De Peel                                   ;AR10      ;Oost-Brabant                                      ;CR36      ;Zuidoost-Noord-Brabant                            ;CS360     ;Zuidoost-Noord-Brabant                            ;CP3600    ;Zuidoost-Noord-Brabant                            ;GG5608    ;GGD Brabant-Zuidoost                              ;JZ39      ;Zuidoost-Brabant                                  ;KK44      ;Zuid                                              ;LB3010    ;Westelijk Peelgebied                              ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE09      ;Oost-Brabant                                      ;ES26      ;Metropoolregio Eindhoven                          ;MC37      ;Zuidoost-Brabant                                  ;RA1326    ;Zuidoost-Brabant                                  ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2601    ;Metropoolregio Eindhoven                          ;TR14      ;Oost-Brabant, Noord- en Midden-Limburg, Nijmegen  ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT27      ;Oost-Brabant                                      ;VR22      ;Brabant-Zuidoost                                  ;ZK30      ;Zuidoost-Brabant                                  ;3;10 000 tot 20 000 inwoners                        ;3;Matig stedelijk          ;17302;1004
20;GM0744    ;GM0744    ;Baarle-Nassau                                     ;Baarle+Nassau                                     ;AM26      ;Midden-Brabant                                    ;AR11      ;Zeeland-West-Brabant                              ;CR34      ;Midden-Noord-Brabant                              ;CS340     ;Midden-Noord-Brabant                              ;CP3400    ;Midden-Noord-Brabant                              ;GG5206    ;GGD West-Brabant                                  ;JZ35      ;Midden-Brabant (Hart van Brabant)                 ;KK44      ;Zuid                                              ;LB3007    ;De Kempen                                         ;LG13      ;Zuidelijk Veehouderijgebied                       ;LD04      ;Zuid-Nederland                                    ;PV30      ;Noord-Brabant                                     ;RE08      ;Zeeland - West-Brabant                            ;ES28      ;West-Brabant                                      ;MC34      ;West-Brabant                                      ;RA1323    ;West-Brabant                                      ;RT14      ;Gerechtshof 's-Hertogenbosch                      ;ET2801    ;West-Brabant                                      ;TR13      ;West- en Midden-Brabant                           ;TG05      ;Bos en Heide Zuid-Nederland                       ;VT15      ;Midden-Brabant                                    ;VR20      ;Midden- en West-Brabant                           ;ZK25      ;West-Brabant                                      ;2;5 000 tot 10 000 inwoners                         ;5;Niet stedelijk           ;7076;362
21;GM0308    ;GM0308    ;Baarn                                             ;Baarn                                             ;AM14      ;Amersfoort                                        ;AR04      ;Midden-Nederland                                  ;CR17      ;Utrecht                                           ;CS170     ;Utrecht                                           ;CP1702    ;Stadsgewest Amersfoort                            ;GG2514    ;GGD Regio Utrecht                                 ;JZ20      ;Eemland                                           ;KK41      ;Noordwest                                         ;LB2604    ;Eemland                                           ;LG09      ;Hollands/Utrechts Weidegebied                     ;LD03      ;West-Nederland                                    ;PV26      ;Utrecht                                           ;RE03      ;Midden-Nederland                                  ;ES13      ;Amersfoort                                        ;MC16      ;Eem en Vallei                                     ;RA0513    ;Amersfoort en omgeving                            ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET1301    ;Amersfoort                                        ;TR07      ;Utrechtse Heuvelrug en 't Gooi                    ;TG03      ;Bos en Heide Midden-Nederland                     ;VT20      ;Utrecht                                           ;VR09      ;Utrecht                                           ;ZK23      ;Utrecht                                           ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;25065;1641
22;GM0489    ;GM0489    ;Barendrecht                                       ;Barendrecht                                       ;AM22      ;Rijnmond                                          ;AR08      ;Rotterdam                                         ;CR29      ;Groot-Rijnmond                                    ;CS291     ;Rijnmond                                          ;CP2910    ;Rijnmond                                          ;GG4607    ;GGD Rotterdam-Rijnmond                            ;JZ29      ;Rijnmond                                          ;KK45      ;Zuidwest                                          ;LB2802    ;Rotterdam en omgeving                             ;LG07      ;Westelijk Holland                                 ;LD03      ;West-Nederland                                    ;PV28      ;Zuid-Holland                                      ;RE07      ;Rotterdam                                         ;ES23      ;Rotterdam/Den Haag                                ;MC29      ;Rijnmond                                          ;RA0919    ;Rijnmond                                          ;RT13      ;Gerechtshof Den Haag                              ;ET2301    ;Rotterdam/Den Haag                                ;TR04      ;Deltagebied                                       ;TG02      ;Watersportgebieden                                ;VT18      ;Rotterdam-Rijnmond                                ;VR17      ;Rotterdam-Rijnmond                                ;ZK29      ;Zuid-Hollandse Eilanden                           ;4;20 000 tot 50 000 inwoners                        ;2;Sterk stedelijk          ;48690;1692
23;GM0203    ;GM0203    ;Barneveld                                         ;Barneveld                                         ;AM38      ;FoodValley                                        ;AR03      ;Gelderland                                        ;CR13      ;Veluwe                                            ;CS130     ;Veluwe                                            ;CP1300    ;Veluwe                                            ;GG1911    ;Veiligheids- en Gezondheidsregio Gelderland-Midden;JZ21      ;Food Valley                                       ;KK43      ;Oost                                              ;LB2507    ;Westelijke Veluwe                                 ;LG05      ;Centraal Veehouderijgebied                        ;LD02      ;Oost-Nederland                                    ;PV25      ;Gelderland                                        ;RE02      ;Oost-Nederland                                    ;ES09      ;Foodvalley                                        ;MC16      ;Eem en Vallei                                     ;RA0309    ;Midden-Gelderland                                 ;RT12      ;Gerechtshof Arnhem-Leeuwarden                     ;ET0901    ;Foodvalley Gelderland                             ;TR08      ;Veluwe en Veluwerand                              ;TG03      ;Bos en Heide Midden-Nederland                     ;VT05      ;Gelderland-Midden                                 ;VR07      ;Gelderland-Midden                                 ;ZK04      ;Arnhem                                            ;5;50 000 tot 100 000 inwoners                       ;4;Weinig stedelijk         ;62592;903
